_meta_source,_meta_hs_prefix,_meta_fetched_at_utc,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
IMPORT,7010.20.30.00,2026-02-13T21:07:18.228243+00:00,7010.20.30.00,2,Other,"[""gross""]",5.2%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",75%,
IMPORT,7010.90,2026-02-13T21:07:18.228243+00:00,7010.90,1,Other:,,,,,
IMPORT,7010.90.05,2026-02-13T21:07:18.228243+00:00,7010.90.05,2,"Serum bottles, vials and other pharmaceutical containers",,Free,,50¢/gross,
IMPORT,7010.90.05.10,2026-02-13T21:07:18.228243+00:00,7010.90.05.10,3,Of a capacity exceeding 1 liter,"[""gross""]",,,,
IMPORT,7010.90.05.20,2026-02-13T21:07:18.228243+00:00,7010.90.05.20,3,Of a capacity exceeding 0.33 liter but not exceeding 1 liter,"[""gross""]",,,,
IMPORT,7010.90.05.30,2026-02-13T21:07:18.228243+00:00,7010.90.05.30,3,Of a capacity exceeding 0.15 liter but not exceeding 0.33 liter,"[""gross""]",,,,
IMPORT,7010.90.05.40,2026-02-13T21:07:18.228243+00:00,7010.90.05.40,3,Of a capacity not exceeding 0.15 liter,"[""gross""]",,,,
IMPORT,,2026-02-13T21:07:18.228243+00:00,,2,Containers (with or without their closures) of a kind used for the conveyance or packing of perfume or other toilet preparations; other containers if fitted with or designed for use with ground glass stoppers:,,,,,
IMPORT,7010.90.20,2026-02-13T21:07:18.228243+00:00,7010.90.20,3,Produced by automatic machine,,2.5%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",25%,
IMPORT,7010.90.20.10,2026-02-13T21:07:18.228243+00:00,7010.90.20.10,4,Of a capacity exceeding 1 liter,"[""gross""]",,,,
IMPORT,7010.90.20.20,2026-02-13T21:07:18.228243+00:00,7010.90.20.20,4,Of a capacity exceeding 0.33 liter but not exceeding 1 liter,"[""gross""]",,,,
IMPORT,7010.90.20.30,2026-02-13T21:07:18.228243+00:00,7010.90.20.30,4,Of a capacity exceeding 0.15 liter but not exceeding 0.33 liter,"[""gross""]",,,,
IMPORT,7010.90.20.40,2026-02-13T21:07:18.228243+00:00,7010.90.20.40,4,Of a capacity not exceeding 0.15 liter,"[""gross""]",,,,
IMPORT,7010.90.30,2026-02-13T21:07:18.228243+00:00,7010.90.30,3,Other,,5.2%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",75%,
IMPORT,7010.90.30.10,2026-02-13T21:07:18.228243+00:00,7010.90.30.10,4,Of a capacity exceeding 1 liter,"[""gross""]",,,,
IMPORT,7010.90.30.20,2026-02-13T21:07:18.228243+00:00,7010.90.30.20,4,Of a capacity exceeding 0.33 liter but not exceeding 1 liter,"[""gross""]",,,,
IMPORT,7010.90.30.30,2026-02-13T21:07:18.228243+00:00,7010.90.30.30,4,Of a capacity exceeding 0.15 liter but not exceeding 0.33 liter,"[""gross""]",,,,
IMPORT,7010.90.30.40,2026-02-13T21:07:18.228243+00:00,7010.90.30.40,4,Of a capacity not exceeding 0.15 liter,"[""gross""]",,,,
IMPORT,7010.90.50,2026-02-13T21:07:18.228243+00:00,7010.90.50,2,Other containers (with or without their closures),,Free,,4.9%,
